850A131,CHURCHILL FALLS          ,NL  ,station joined    , Monthly total of daily adjusted precipitation, mm, Updated to December 2011
850A131,CHURCHILL FALLS          ,NL  ,station jointe    , Total mensuel des chutes de précipitations quotidiennes ajustées, mm, Mise à jour jusqu à décembre 2011
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
An  ,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1969,   104.7, ,    88.8, ,    36.4, ,    42.6, ,    52.8, ,   119.1, ,   113.4, ,   126.7, ,   157.9, ,    81.4, ,    83.3, ,   189.5, ,  1196.5, , -9999.9,M,   131.8, ,   359.2, ,   322.6, ,
1970,    66.1, ,    66.5, ,    84.9, ,    65.7, ,   103.7, ,   105.7, ,    93.1, ,    79.4, ,    50.5, ,    57.7, ,    56.1, ,    73.0, ,   902.4, ,   322.1, ,   254.2, ,   278.3, ,   164.3, ,
1971,    74.9, ,    50.2, ,    90.2, ,   120.1, ,    82.4, ,   166.6, ,    77.1, ,   112.4, ,   110.6, ,   103.1, ,   177.7, ,    54.3, ,  1219.5, ,   198.0, ,   292.7, ,   356.1, ,   391.3, ,
1972,    83.6, ,    80.7, ,   120.6, ,    61.2, ,    36.3, ,    51.5, ,    78.5, ,    88.2, ,   146.6, ,    87.6, ,    86.9, ,    50.3, ,   972.0, ,   218.6, ,   218.1, ,   218.2, ,   321.0, ,
1973,    89.7, ,    77.8, ,    51.6, ,    87.0, ,    40.5, ,    73.1, ,   160.4, ,    28.4, ,    79.6, ,    88.7, ,    96.8, ,   132.8, ,  1006.6, ,   217.8, ,   179.1, ,   262.0, ,   265.1, ,
1974,    40.8, ,   117.6, ,    85.1, ,    52.6, ,    52.0, ,    78.7, ,    74.6, ,   101.7, ,    93.8, ,   133.2, ,    82.8, ,    59.4, ,   972.3, ,   291.3, ,   189.6, ,   254.9, ,   309.8, ,
1975,    34.8, ,    41.4, ,   151.2, ,   117.4, ,    42.9, ,   132.1, ,   155.1, ,    79.4, ,    90.6, ,    59.8, ,   121.3, ,    94.8, ,  1120.9, ,   135.6, ,   311.5, ,   366.6, ,   271.7, ,
1976,    82.7, ,    54.7, ,    50.3, ,   103.5, ,   112.7, ,    46.1, ,   105.6, ,   125.4, ,   153.1, ,    97.2, ,    96.6, ,    78.4, ,  1106.3, ,   232.3, ,   266.5, ,   277.1, ,   346.8, ,
1977,   140.7, ,    67.0, ,    49.1, ,    91.8, ,    32.5, ,    72.4, ,   115.2, ,   102.0, ,   120.1, ,    95.1, ,   148.0, ,   116.7, ,  1150.5, ,   286.1, ,   173.4, ,   289.5, ,   363.2, ,
1978,   150.0, ,    75.9, ,   109.7, ,    60.4, ,    40.5, ,   187.9, ,   118.9, ,   186.0, ,   116.3, ,    92.7, ,    87.3, ,    53.5, ,  1279.1, ,   342.6, ,   210.6, ,   492.8, ,   296.3, ,
